Year,Employment,Employment: Public Sector: Central Government,Employment: Public Sector: State Government,Employment: Public Sector: Central Quasi Government,Employment: Public Sector: State Quasi Government,Employment: Public Sector: Local Bodies,Employment: Private Sector: 25 or More Workers,Employment: Private Sector: 10 to 24 Workers,Employment: Public: Public Sector,"Employment: Public: Agriculture, Hunting, etc.",Employment: Public: Mining and Quarrying,Employment: Public: Manufacturing,"Employment: Public: Electricity, Gas and Water",Employment: Public: Construction,"Employment: Public: Wholesale and Retail Trade, etc.","Employment: Public: Transport, Storage and Communication","Employment: Public: Finance, Insurance, Real Estate etc","Employment: Public: Community, Social and Personal Service",Employment: Private: Private Sector,"Employment: Private: Agriculture, Hunting, etc.",Employment: Private: Mining and Quarrying,Employment: Private: Manufacturing,"Employment: Private: Electricity, Gas and Water",Employment: Private: Construction,"Employment: Private: Wholesale and Retail Trade, etc.","Employment: Private: Transport, Storage and Communication","Employment: Private: Finance, Insurance, Real Estate etc","Employment: Private: Community, Social and Personal Service"
2001,"27,206","3,195","7,384","3,195","2,824","2,175","7,508",924,"18,730",483,861,"1,350",923,"1,026",156,"3,090","1,230","9,735","8,432",855,68,"4,870",42,56,335,76,391,"1,742"
2002,"27,000","3,130","7,367","3,177","2,724","2,179","7,472",949,"18,580",506,847,"1,260",913,948,182,"2,939","1,377","9,609","8,421",895,66,"4,744",51,44,360,79,426,"1,756"
2003,"26,440","3,030","7,220","3,300","2,520","2,130","7,230","1,010","18,200",490,"1,030","1,190",870,930,180,"2,820","1,410","9,260","8,250",920,70,"4,490",50,50,350,80,460,"1,790"
2004,"26,460","2,940","7,200","3,280","2,460","2,120","7,490",960,"18,010",500,"1,010","1,130",860,910,180,"2,750","1,410","9,250","8,450",980,80,"4,490",50,50,380,90,520,"1,820"
2005,"26,990","2,860","7,300","3,470","2,440","2,120","7,800","1,000","18,190",470,"1,150","1,090",850,890,180,"2,670","1,390","9,180","8,810","1,030",90,"4,550",40,50,390,90,650,"1,880"
2006,"27,280","2,800","7,210","3,440","2,410","2,130","8,230","1,050","18,000",470,"1,140","1,090",850,870,180,"2,640","1,370","9,090","9,270",950,100,"4,750",50,70,410,100,880,"1,950"
2007,"27,550","2,740","7,170","3,390","2,410","1,970","8,830","1,040","17,670",470,"1,120","1,040",800,850,170,"2,630","1,350","8,850","9,840",990,110,"4,970",50,70,270,100,"1,100","2,170"
2008,"28,170","2,660","7,240","3,400","2,420","2,070","9,320","1,060","17,800",480,"1,110","1,060",840,850,170,"2,600","1,360","9,010","10,380",900,120,"5,200",60,80,470,130,"1,310","2,020"
2009,"28,710","2,550","7,350","3,460","2,410","2,090","9,710","1,140","17,860",480,"1,100","1,070",840,860,170,"2,530","1,410","9,050","10,850",920,160,"5,180",60,90,510,170,"1,550","2,140"
2010,"29,000","2,460","7,220","3,450","2,360","2,050","10,300","1,180","17,550",480,"1,090","1,020",830,850,170,"2,380","1,360","9,100","11,450",920,130,"5,400",70,100,550,190,"1,720","2,350"