Year,Mandal,June,July,Aug,Sept,Total
2004,Medchel,16,256.3,88.8,116.6,477.7
2005,Medchel,119.4,273.4,26.4,158.2,577.4
2006,Medchel,78.4,93.8,172.2,156.2,500.6
2007,Medchel,167.8,48,130,143.4,489.2
2008,Medchel,56.2,111,465,120,752.2
2009,Medchel,46.2,91.8,220.2,124,482.2
2010,Medchel,37.2,201.2,263.6,137.2,639.2
2011,Medchel,62.8,121,140.2,38.8,362.8
2012,Medchel,127.2,222.4,137.6,73,560.2
2013,Medchel,116,225.4,125.6,146.2,613.2
2014,Medchel,16.4,68.2,244.2,91,419.8
2015,Medchel,135.8,41.2,139,93.2,409.2
2016,Medchel,121.2,85.8,85.4,586.4,878.8
2004,Dundigal_Gandimaisamma,11.9,311.4,57.8,58.4,439.5
2005,Dundigal_Gandimaisamma,101.2,289.4,87.6,190.6,668.8
2006,Dundigal_Gandimaisamma,38.6,115,182.6,142.2,478.4
2007,Dundigal_Gandimaisamma,151.4,88.2,199.8,189.8,629.2
2008,Dundigal_Gandimaisamma,44.2,65,449.4,126.2,684.8
2009,Dundigal_Gandimaisamma,38,75.8,312.2,167,593
2010,Dundigal_Gandimaisamma,92,209.4,339.8,184.2,825.4
2011,Dundigal_Gandimaisamma,76.4,167.2,96.8,39.6,380
2012,Dundigal_Gandimaisamma,167,288,138.8,81.6,675.4
2013,Dundigal_Gandimaisamma,166.4,252.4,145.4,183.6,747.8
2014,Dundigal_Gandimaisamma,47.8,146.4,127.4,82.4,404
2015,Dundigal_Gandimaisamma,180,40.4,61.4,147.4,429.2
2016,Dundigal_Gandimaisamma,148.2,146.6,66,795.8,1156.6
2004,Bachpalle,11.9,311.4,57.8,58.4,439.5
2005,Bachpalle,101.2,289.4,87.6,190.6,668.8
2006,Bachpalle,38.6,115,182.6,142.2,478.4
2007,Bachpalle,151.4,88.2,199.8,189.8,629.2
2008,Bachpalle,44.2,65,449.4,126.2,684.8
2009,Bachpalle,38,75.8,312.2,167,593
2010,Bachpalle,92,209.4,339.8,184.2,825.4
2011,Bachpalle,76.4,167.2,96.8,39.6,380
2012,Bachpalle,167,288,138.8,81.6,675.4
2013,Bachpalle,166.4,252.4,145.4,183.6,747.8
2014,Bachpalle,47.8,146.4,127.4,82.4,404
2015,Bachpalle,180,40.4,61.4,147.4,429.2
2016,Bachpalle,148.2,146.6,66,795.8,1156.6
2004,Quthbullapur,11.9,311.4,57.8,58.4,439.5
2005,Quthbullapur,101.2,289.4,87.6,190.6,668.8
2006,Quthbullapur,38.6,115,182.6,142.2,478.4
2007,Quthbullapur,151.4,88.2,199.8,189.8,629.2
2008,Quthbullapur,44.2,65,449.4,126.2,684.8
2009,Quthbullapur,38,75.8,312.2,167,593
2010,Quthbullapur,92,209.4,339.8,184.2,825.4
2011,Quthbullapur,76.4,167.2,96.8,39.6,380
2012,Quthbullapur,167,288,138.8,81.6,675.4
2013,Quthbullapur,166.4,252.4,145.4,183.6,747.8
2014,Quthbullapur,47.8,146.4,127.4,82.4,404
2015,Quthbullapur,180,40.4,61.4,147.4,429.2
2016,Quthbullapur,148.2,146.6,66,795.8,1156.6
2004,Kukatpally,23.4,203,69,115.2,410.6
2005,Kukatpally,87.7,369.7,115,219.3,791.7
2006,Kukatpally,82.5,195.8,227.8,200.5,706.6
2007,Kukatpally,112.7,121.6,238.4,203,675.7
2008,Kukatpally,40,97.8,426.6,142.8,707.2
2009,Kukatpally,75,81.4,326.4,118.4,601.2
2010,Kukatpally,203.2,311.6,516.6,207,1238.4
2011,Kukatpally,31.2,123.2,191.8,58.8,405
2012,Kukatpally,209,223.8,109.8,104.8,647.4
2013,Kukatpally,118.6,307.8,182.4,182.2,791
2014,Kukatpally,31.8,140,155,81,407.8
2015,Kukatpally,149.4,49.2,31,95,324.6
2016,Kukatpally,165.2,269.2,117,562.2,1113.6
2004,Balanagar,23.4,203,69,115.2,410.6
2005,Balanagar,87.7,369.7,115,219.3,791.7
2006,Balanagar,82.5,195.8,227.8,200.5,706.6
2007,Balanagar,112.7,121.6,238.4,203,675.7
2008,Balanagar,40,97.8,426.6,142.8,707.2
2009,Balanagar,75,81.4,326.4,118.4,601.2
2010,Balanagar,203.2,311.6,516.6,207,1238.4
2011,Balanagar,31.2,123.2,191.8,58.8,405
2012,Balanagar,209,223.8,109.8,104.8,647.4
2013,Balanagar,118.6,307.8,182.4,182.2,791
2014,Balanagar,31.8,140,155,81,407.8
2015,Balanagar,149.4,49.2,31,95,324.6
2016,Balanagar,165.2,269.2,117,562.2,1113.6
2004,Alwal,17.3,163.8,53.4,41,275.5
2005,Alwal,60.6,316,50.1,135.6,562.3
2006,Alwal,44.6,138.8,223.6,111.4,518.4
2007,Alwal,68.4,39.7,197.3,227.3,532.7
2008,Alwal,31.9,64.7,397.9,165.6,660.1
2009,Alwal,94.8,96.2,354.2,188.6,733.8
2010,Alwal,106.6,316,431,178.8,1032.4
2011,Alwal,46,185.2,221.2,52.8,505.2
2012,Alwal,165.8,250.4,135.4,123,674.6
2013,Alwal,131.4,253.4,84.6,206,675.4
2014,Alwal,50.6,106.8,186,85.6,429
2015,Alwal,188.2,66,59.2,181.2,494.6
2016,Alwal,90.8,160.4,103,499.4,853.6
2004,Malkajgiri,17.3,163.8,53.4,41,275.5
2005,Malkajgiri,60.6,316,50.1,135.6,562.3
2006,Malkajgiri,44.6,138.8,223.6,111.4,518.4
2007,Malkajgiri,68.4,39.7,197.3,227.3,532.7
2008,Malkajgiri,31.9,64.7,397.9,165.6,660.1
2009,Malkajgiri,94.8,96.2,354.2,188.6,733.8
2010,Malkajgiri,106.6,316,431,178.8,1032.4
2011,Malkajgiri,46,185.2,221.2,52.8,505.2
2012,Malkajgiri,165.8,250.4,135.4,123,674.6
2013,Malkajgiri,131.4,253.4,84.6,206,675.4
2014,Malkajgiri,50.6,106.8,186,85.6,429
2015,Malkajgiri,188.2,66,59.2,181.2,494.6
2016,Malkajgiri,90.8,160.4,103,499.4,853.6
2004,Uppal,151.8,269.7,41.5,20.6,483.6
2005,Uppal,72.8,371.2,124,232.8,800.8
2006,Uppal,68.6,171.6,207.4,122.6,570.2
2007,Uppal,126.4,74.4,158.2,217.8,576.8
2008,Uppal,70.6,81.8,477.8,241.4,871.6
2009,Uppal,124,58.4,274,126.8,583.2
2010,Uppal,135.8,257.2,155.4,107.6,656
2011,Uppal,39.8,170.8,200.6,115.4,526.6
2012,Uppal,145.8,237.2,134.4,69.6,587
2013,Uppal,162.4,222.4,115.4,177.7,677.9
2014,Uppal,36.6,62.6,84,60.2,243.4
2015,Uppal,158.4,55.6,66.4,152.2,432.6
2016,Uppal,116.2,108.4,117,416.6,758.2
2004,Medipally,247.4,312,84.2,91,734.6
2005,Medipally,68.2,368.6,143.4,218,798.2
2006,Medipally,142,127.2,241.7,162.3,673.2
2007,Medipally,198.8,91,390,228.6,908.4
2008,Medipally,93.2,111.4,510.4,222.4,937.4
2009,Medipally,91,103,266.6,196.4,657
2010,Medipally,108.6,322.8,360,233.6,1025
2011,Medipally,85.4,236.2,247.8,37.4,606.8
2012,Medipally,73.4,204.6,90.4,120.6,489
2013,Medipally,75.6,194.6,55.2,137.6,463
2014,Medipally,33.2,67.6,107.8,38.2,246.8
2015,Medipally,148.4,33.4,43.6,219.4,444.8
2016,Medipally,120.4,120.8,160.4,398.4,800
2004,Kapra,112.8,204.9,55.6,60.2,433.5
2005,Kapra,75.2,377.8,99.9,257,809.9
2006,Kapra,145.6,104.6,242.7,165.6,658.5
2007,Kapra,156.2,27.5,256.6,193.6,633.9
2008,Kapra,97,116.4,331.8,129,674.2
2009,Kapra,32.8,49.1,148.6,212.8,443.3
2010,Kapra,112,226.6,287.6,182,808.2
2011,Kapra,76.4,144.8,128.6,8.2,358
2012,Kapra,88.2,229.4,40.2,114.6,472.4
2013,Kapra,51.4,114.8,37.2,86.6,290
2014,Kapra,9.8,95.4,172.8,63.6,341.6
2015,Kapra,139,55.4,55.4,213.8,463.6
2016,Kapra,94.4,113.8,127.6,549.2,885
2004,Shamirpet,5,162.8,37,54,258.8
2005,Shamirpet,40,238.4,63,144,485.4
2006,Shamirpet,50,79,119,124,372
2007,Shamirpet,95,15,77,215.6,402.6
2008,Shamirpet,42.4,101,354.4,139,636.8
2009,Shamirpet,24,14,197,164,399
2010,Shamirpet,38,96.8,230.4,76.2,441.4
2011,Shamirpet,24.6,122.8,90.6,31.4,269.4
2012,Shamirpet,69.2,189,71.6,96,425.8
2013,Shamirpet,80.8,115.6,52.4,100.8,349.6
2014,Shamirpet,15,96.2,153,31.2,295.4
2015,Shamirpet,110,27.6,69.6,93.2,300.4
2016,Shamirpet,72.4,129.4,99,544.4,845.2
2004,Keesara,112.8,204.9,55.6,60.2,433.5
2005,Keesara,75.2,377.8,99.9,257,809.9
2006,Keesara,145.6,104.6,242.7,165.6,658.5
2007,Keesara,156.2,27.5,256.6,193.6,633.9
2008,Keesara,97,116.4,331.8,129,674.2
2009,Keesara,32.8,49.1,148.6,212.8,443.3
2010,Keesara,112,226.6,287.6,182,808.2
2011,Keesara,76.4,144.8,128.6,8.2,358
2012,Keesara,88.2,229.4,40.2,114.6,472.4
2013,Keesara,51.4,114.8,37.2,86.6,290
2014,Keesara,9.8,95.4,172.8,63.6,341.6
2015,Keesara,139,55.4,55.4,213.8,463.6
2016,Keesara,94.4,113.8,127.6,549.2,885
2004,Ghatkesar,247.4,312,84.2,91,734.6
2005,Ghatkesar,68.2,368.6,143.4,218,798.2
2006,Ghatkesar,142,127.2,241.7,162.3,673.2
2007,Ghatkesar,198.8,91,390,228.6,908.4
2008,Ghatkesar,93.2,111.4,510.4,222.4,937.4
2009,Ghatkesar,91,103,266.6,196.4,657
2010,Ghatkesar,108.6,322.8,360,233.6,1025
2011,Ghatkesar,85.4,236.2,247.8,37.4,606.8
2012,Ghatkesar,73.4,204.6,90.4,120.6,489
2013,Ghatkesar,75.6,194.6,55.2,137.6,463
2014,Ghatkesar,33.2,67.6,107.8,38.2,246.8
2015,Ghatkesar,148.4,33.4,43.6,219.4,444.8
2016,Ghatkesar,120.4,120.8,160.4,398.4,800